Sam Mendes
Steven Soderbergh
Ron Howard
Roman Polanski
Damien Chazelle
Ron Howard
David Fincher
Kenneth Lonergan
Woody Allen
Terrence Malick
Barry Jenkins
Denis Villeneuve
Mel Gibson
Tim Burton
Tom McCarthy

Joel Coen
George Miller
Lenny Abrahamson
Morten Tyldum
Adam McKay
Gore Verbinski 
George Clooney
Paul Haggis
Richard Linklater
Taylor Hackford
Wes Anderson
Colin Trevorrow
Alexander Payne
Steve McQueen
Benh Zeitlin
Michael Haneke
David O Russell
Joe Russo
Pierre Coffin
Sofia Coppola
Alfonso Cuaron
Bryan Singer 
Zack Snyder
Patty Jenkins
Anthony Russo
Phil Lord
Clint Eastwood
Fernando Meirelles
Peter Weir
Stephen Daldry
Chris Buck
Bennett Miller
Coen Brothers
David Ayer
JJ Abrams 
Bill Condon
Chris Renaud
Chris Miller II
Ivan Reitman 
Angus MacLane 
Pete Docter
John Lasseter 
Shane Black
Joss Whedon 
Luc Besson 
Martin Scorsese
Mike Nichols 
Quentin Tarantino 
Jay Roach 
Judd Apatow 
Michael Mann 
Tony Scott 
Barry Sonnenfeld 
Farrelly Brothers 
Irwin Winkler 
Joel Schumacher 
Jon Turteltaub 
Paul Newman
Todd Phillips 
Woody Allen Net Worth 
Brett Ratner 
John Landis 
Matt Reeves
Paul Thomas 
Vishal Bharadwaj 
Zhang Yimou 
David Fincher 
Ethan Coen 
Joel Coen 
John Woo 
Peter Jackson
John Hughes
Robert Stromberg
Clint Eastwood
Ang Lee
Martin Scorsese
Ethan Coen and Joel Coen
Danny Boyle
Kathryn Bigelow
Tom Hooper
Michel Hazanavicius
Ang Lee
Alfonso CuarÑn
Alejandro González
George Lucas
Steven Spielberg 
James Cameron 
Lee Daniels
Tony Gilroy
Paul Thomas Anderson
Stephen Frears
Paul Greengrass
Clint Eastwood
Tyler Perry 
Michael Bay 
Francis Load Coppola 
David Yates 
Christopher Nolan 
Robert Zemeckis 
Tim Burton 
Guy Ritchie
Chris Columbus 
Ridley Scott 
Jason Reitman
Gore Verbinski 
James Francis Cameron
